,EventDate,Date,"World Price, US$, and SDRs",New Zealand dollar,AveragePublishedPrice,ChangeInPriceIndex,EventDuration,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders,EventMonth
100,02/19/18,Feb-18,254.9544863,186.8743482,3623,-0.5,125,22845,18550,152,527,20256,14,640091,114,2
101,03/05/18,Mar-18,262.6970444,194.0966026,3593,-0.6,162,21180,17210,174,529,19292,22,669605,130,3
102,03/19/18,Mar-18,262.6970444,194.0966026,3632,-1.2,115,20485,16575,170,513,18635,14,676725,125,3
103,04/02/18,Apr-18,269.8969554,199.6516978,3477,-0.6,137,18870,15810,169,514,17222,16,679804,123,4
104,04/16/18,Apr-18,269.8969554,199.6516978,3587,2.7,129,20580,17380,182,518,19262,16,680727,102,4
105,04/30/18,Apr-18,269.8969554,199.6516978,3465,-1.1,127,21120,17830,150,519,19508,14,658697,97,4
106,05/14/18,May-18,274.0741456,211.2678793,3637,1.9,121,19675,16610,164,527,18161,14,659621,111,5
107,06/04/18,Jun-18,271.3458755,209.3930041,3487,-1.3,130,23100,19680,179,519,21580,15,678690,118,6
108,06/18/18,Jun-18,271.3458755,209.3930041,3481,-1.2,121,23680,20220,165,522,21634,14,674997,127,6
109,07/02/18,Jul-18,253.8014665,200.3767336,3232,-5,115,28935,24065,152,524,26519,13,669721,118,7
110,07/16/18,Jul-18,253.8014665,200.3767336,3222,-1.7,125,28000,23280,168,524,25454,15,666341,126,7
111,08/06/18,Aug-18,250.2359882,201.0996768,3136,0,119,37675,31405,191,529,34076,13,640289,126,8
112,08/20/18,Aug-18,250.2359882,201.0996768,3044,-3.6,117,36230,29840,158,534,32041,13,637214,126,8
113,09/03/18,Sep-18,239.425295,194.6325699,2980,-0.7,163,42505,35475,178,541,38811,19,658794,126,9
114,09/17/18,Sep-18,239.425295,194.6325699,2934,-1.3,134,43200,36100,179,503,39143,15,658424,149,9
115,10/01/18,Oct-18,232.0411662,190.4073256,2901,-1.9,148,46905,39255,170,506,41981,15,663772,143,10
116,10/15/18,Oct-18,232.0411662,190.4073256,2885,-0.3,139,45780,38275,183,511,41945,15,660652,137,10
117,11/05/18,Nov-18,228.1713424,180.527269,2851,-2,182,46933,39267,173,517,42412,18,635272,142,11
118,11/19/18,Nov-18,228.1713424,180.527269,2727,-3.5,124,46952,39425,170,503,42966,15,635053,143,11
119,12/03/18,Nov-18,228.1713424,180.527269,2819,2.2,136,40192,33360,178,507,36450,18,673864,139,12
120,12/17/18,Nov-18,228.1713424,180.527269,2844,1.7,122,39022,32510,184,514,36181,13,679506,143,12
121,01/01/19,Nov-18,228.1713424,180.527269,2986,2.8,149,31540,26070,167,515,28651,15,687370,115,1
