Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
BMP,5-Apr-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,19-Apr-11,3911.910678,0.0082,3986.4,3985.261959,3828.664286,n.a.,n.a.,n.a.,7445
SMP,19-Apr-11,3770.511968,-0.0059,3899.801325,3783.698846,3686.823529,n.a.,n.a.,n.a.,2256
AMF,19-Apr-11,5950.814433,-0.0084,5976.920583,5976.76819,5871.558333,n.a.,n.a.,n.a.,2425
BUT,19-Apr-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,19-Apr-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-May-11,3859.377694,-0.0171,4007.9229,3929.803294,3741.628571,n.a.,n.a.,n.a.,7424
SMP,3-May-11,3908.931992,0.0264,4373.770492,3806,3732.882353,n.a.,n.a.,n.a.,2088
AMF,3-May-11,5669.993103,-0.0462,5669.171429,5682.45098,5645.916667,n.a.,n.a.,n.a.,3625
BUT,3-May-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-May-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,17-May-11,3862.894737,0.0011,3989.223301,3958.312343,3753.014286,n.a.,n.a.,n.a.,7030
SMP,17-May-11,3824.385422,-0.0146,4075.465587,3869.410596,3638.470588,n.a.,n.a.,n.a.,2099
AMF,17-May-11,5339.759978,-0.0576,5276.457143,5431.253041,5336.375,n.a.,n.a.,n.a.,3583
BUT,17-May-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,17-May-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Jun-11,3780.326,-0.0307,3760.013441,3824.264804,3722.55,n.a.,n.a.,n.a.,12454
SMP,1-Jun-11,4372.170543,0.1315,4548.088235,4556.25,4005.886288,n.a.,n.a.,n.a.,1806
AMF,1-Jun-11,5669.143612,0.0617,5740.599793,5622.380952,5675.888889,n.a.,n.a.,n.a.,3217
BUT,1-Jun-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Jun-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,15-Jun-11,3887.633254,0.0258,3886.049679,3895.567227,3875.557143,n.a.,n.a.,n.a.,12570
SMP,15-Jun-11,3993.824228,-0.0721,4364.175824,4087.533333,3728.5,n.a.,n.a.,n.a.,2105
AMF,15-Jun-11,5345.511755,-0.0594,5362.903846,5344.398479,5315.703704,n.a.,n.a.,n.a.,4211
BUT,15-Jun-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Jun-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Jul-11,3637.916901,-0.0682,3665.957046,3628.023529,3630.05,n.a.,n.a.,n.a.,15981
SMP,5-Jul-11,3704.147113,-0.0716,3695,3706.926373,3700.8,n.a.,n.a.,n.a.,4901
AMF,5-Jul-11,5277.672727,-0.0139,5225.9,5270.703704,5430.625,n.a.,n.a.,n.a.,4125
BUT,5-Jul-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Jul-11,3335,0.0106,n.a.,3335,n.a.,n.a.,n.a.,n.a.,300
WMP,19-Jul-11,3475.254688,-0.04,3474.2375,3441.444118,3558.528571,n.a.,n.a.,n.a.,16000
SMP,19-Jul-11,3487.58517,-0.0524,3612.2,3451.682099,3530.8,n.a.,n.a.,n.a.,4990
AMF,19-Jul-11,4613.760417,-0.1249,4512.064103,4609.088889,4961.791667,n.a.,n.a.,n.a.,4800
